29	15	32	31	19	26	9	8	12	33	11	28	36	20	1	14	13	24	27	50	40	39	41	30	10	37	46	3	23	42	34	18	49	4	45	16	6	21	35	48	43	5	17	22	7	47	44	2	38	25
11	16	45	5	26	29	41	50	22	2	14	17	34	28	23	43	47	3	10	37	12	18	15	32	6	35	8	25	36	40	33	13	9	39	48	24	38	42	27	7	44	1	4	21	49	19	46	31	30	20
6	9	39	40	3	27	30	24	4	28	35	16	43	47	1	50	32	18	37	25	8	46	48	2	13	17	29	31	14	38	19	20	33	44	7	45	11	49	10	15	34	42	12	21	5	22	36	41	23	26
43	30	37	42	47	18	38	20	49	48	25	50	41	5	17	7	44	6	45	22	4	9	21	40	1	27	31	46	3	16	29	19	33	11	35	15	32	10	12	23	24	26	28	2	39	36	8	13	14	34
5	2	7	18	20	27	23	31	36	22	45	3	49	26	39	44	41	21	40	34	11	12	6	24	48	16	19	35	50	25	47	42	29	32	14	38	10	43	30	37	13	8	46	1	17	4	33	9	15	28
4	23	26	6	9	12	22	25	39	8	14	29	10	42	30	5	21	40	50	32	20	35	17	3	45	2	46	15	7	13	24	48	1	47	44	33	27	43	49	18	34	19	31	38	37	11	28	16	41	36
2	12	46	35	8	17	3	40	21	44	13	23	29	45	14	25	50	39	7	19	36	15	28	24	33	37	10	43	38	41	22	5	49	30	32	4	1	27	9	42	31	16	34	18	11	26	48	20	6	47
3	2	18	20	41	1	46	14	24	32	44	34	43	29	15	13	33	5	35	50	22	4	45	49	8	9	27	19	40	26	17	16	6	7	42	28	12	39	21	36	37	25	47	10	31	23	30	11	38	48
8	13	33	34	36	42	38	5	49	50	40	6	19	30	31	1	15	37	24	23	18	11	48	47	29	4	16	35	44	3	17	9	46	26	32	2	41	39	43	20	14	10	12	27	22	45	28	25	7	21
10	21	27	16	8	14	11	13	34	25	38	12	7	17	37	48	49	31	43	40	41	33	32	35	28	29	42	2	44	26	9	3	30	39	1	47	36	22	50	20	45	4	19	6	46	23	15	5	18	24
7	19	33	45	11	46	27	35	17	21	30	16	20	48	6	24	31	14	25	28	10	37	47	22	36	29	40	34	3	26	32	18	23	2	44	15	1	5	38	41	49	50	9	42	4	8	13	39	43	12
28	9	46	34	16	13	17	8	23	48	32	12	4	38	10	47	15	5	33	21	7	19	3	36	43	29	40	25	42	31	44	24	26	49	2	20	6	14	41	35	18	27	22	45	39	37	1	50	30	11
15	43	22	44	7	42	48	21	18	28	1	36	32	19	4	29	39	16	35	38	2	11	47	40	31	41	12	23	46	17	13	45	14	27	3	10	24	30	5	50	26	20	49	37	8	25	6	34	9	33
4	15	25	2	33	42	46	27	9	40	36	10	31	26	35	7	43	49	21	48	5	50	34	1	11	18	22	16	20	6	29	17	12	19	8	3	45	14	32	24	23	38	28	13	44	41	30	47	37	39
9	17	24	47	1	10	37	6	22	35	36	26	48	3	11	19	29	21	20	49	4	45	16	25	12	33	14	40	32	15	8	23	30	27	39	28	34	42	5	50	2	7	13	18	46	41	31	44	43	38
