1	35	23	40	6	16	3	9	19	24	31	5	7	34	17	22	33	49	46	38	26	4	14	15	20	41	39	2	42	25	29	36	43	21	44	37	11	10	13	30	18	45	12	27	50	32	48	47	8	28
4	10	19	32	36	12	3	9	39	38	48	22	18	17	44	37	5	40	7	27	35	45	8	26	1	11	50	24	16	15	6	2	23	34	33	13	28	43	29	21	14	31	20	46	42	49	30	25	47	41
5	14	31	50	10	43	20	30	44	23	39	36	42	25	11	29	48	12	28	26	46	6	33	37	3	7	15	9	27	34	40	13	45	47	24	4	19	35	21	49	41	2	16	1	38	17	22	32	8	18
9	48	8	29	42	6	41	21	2	50	15	18	13	17	19	38	45	4	44	49	32	1	11	47	22	16	5	7	43	10	28	23	34	14	3	25	30	24	40	31	37	36	26	20	33	39	12	46	27	35
6	45	22	32	41	44	11	26	12	13	46	27	30	43	49	2	31	35	47	10	37	3	8	5	14	24	39	23	18	7	19	38	28	15	29	40	21	36	25	20	4	33	17	16	50	34	42	48	1	9
6	8	36	49	16	31	43	11	23	33	7	32	13	17	41	46	20	38	29	1	22	48	34	47	28	15	26	39	2	42	5	25	30	10	37	40	9	3	14	12	18	19	4	27	21	44	24	45	35	50
18	14	28	19	44	29	32	46	26	38	39	37	12	35	33	17	41	11	49	16	25	5	8	23	15	7	9	50	40	6	20	10	31	4	24	13	47	43	21	22	36	27	42	30	45	1	3	48	2	34
3	34	24	26	39	49	8	33	21	7	1	47	14	20	15	38	43	25	45	32	2	27	31	36	50	10	16	28	5	44	12	40	23	9	42	6	4	35	48	29	13	37	22	46	30	41	19	18	11	17
15	1	13	23	47	2	4	29	37	45	19	14	28	3	5	17	21	18	26	38	9	12	24	34	8	6	7	10	30	36	48	20	27	33	41	50	35	31	46	42	40	22	32	39	11	25	16	49	43	44
2	21	17	19	20	10	36	18	1	8	27	49	39	23	44	5	30	35	41	26	11	28	15	13	25	16	6	38	42	31	37	14	9	22	48	24	50	33	47	40	4	7	34	12	43	45	32	29	3	46
5	7	12	11	43	30	22	31	42	14	25	28	41	10	40	34	45	48	37	1	24	36	15	4	47	32	8	20	21	38	33	18	19	13	26	3	6	27	29	17	16	39	46	49	9	44	50	35	2	23
15	30	16	27	7	47	18	29	35	6	5	22	50	34	28	24	44	38	1	3	40	48	8	42	2	31	32	46	41	23	21	37	17	20	12	26	10	36	13	25	14	33	45	49	19	43	4	9	11	39
9	25	33	37	4	46	26	27	17	18	3	11	35	42	34	14	8	13	5	49	12	32	24	23	1	21	15	36	7	6	38	39	31	28	43	45	2	48	20	19	10	40	44	30	29	22	50	41	16	47
38	8	25	47	13	28	16	34	29	48	12	32	40	42	45	10	15	27	5	46	22	21	24	26	30	50	39	1	4	43	23	14	3	35	7	33	36	44	11	6	41	37	20	18	9	19	17	31	49	2
20	2	24	17	4	40	6	21	19	50	16	14	9	43	18	35	45	11	12	5	30	1	46	28	32	38	8	33	10	15	29	36	22	42	25	37	23	49	13	31	26	44	39	47	41	3	27	48	34	7
