Seed18901-RandomSwap-abz5
10 10
10, 8 0 0 94 0 94, 2 2 0 83 144 227, 9 1 0 59 227 286, 4 4 0 99 451 550, 1 6 0 92 550 642, 6 4 0 95 822 917, 3 7 0 76 1096 1172, 0 8 0 86 1172 1258, 7 7 0 62 1342 1404, 5 9 0 88 1404 1492, 
10, 3 2 1 61 162 223, 5 0 1 99 223 322, 2 3 1 65 322 387, 9 2 1 82 387 469, 8 4 1 66 477 543, 6 1 1 86 543 629, 0 4 1 67 678 745, 7 4 1 71 758 829, 1 7 1 82 829 911, 4 9 1 86 995 1081, 
10, 3 1 2 68 94 162, 1 4 2 94 349 443, 4 5 2 67 550 617, 8 5 2 90 617 707, 7 3 2 51 707 758, 0 5 2 89 758 847, 5 5 2 80 847 927, 6 6 2 66 1050 1116, 2 8 2 55 1116 1171, 9 9 2 96 1274 1370, 
10, 4 0 3 69 0 69, 9 0 3 50 69 119, 1 1 3 50 119 169, 8 2 3 81 311 392, 7 2 3 82 392 474, 6 3 3 96 726 822, 3 4 3 54 901 955, 5 8 3 79 1225 1304, 0 9 3 92 1304 1396, 2 9 3 77 1396 1473, 
10, 7 0 4 98 0 98, 0 0 4 88 98 186, 4 1 4 88 186 274, 1 3 4 75 274 349, 5 1 4 81 349 430, 6 2 4 97 629 726, 8 6 4 76 726 802, 3 3 4 99 802 901, 2 7 4 85 901 986, 9 7 4 81 1088 1169, 
10, 1 0 5 72 0 72, 5 2 5 64 430 494, 2 5 5 85 494 579, 0 3 5 99 579 678, 8 7 5 58 802 860, 4 7 5 68 860 928, 7 5 5 94 928 1022, 3 6 5 66 1030 1096, 6 7 5 99 1116 1215, 9 8 5 59 1215 1274, 
10, 7 1 6 73 98 171, 1 2 6 69 171 240, 8 1 6 71 240 311, 2 4 6 64 387 451, 0 2 6 94 451 545, 5 3 6 66 545 611, 4 6 6 95 617 712, 3 5 6 75 955 1030, 9 6 6 58 1030 1088, 6 8 6 52 1215 1267, 
10, 3 0 7 94 0 94, 8 3 7 85 392 477, 6 0 7 50 477 527, 9 4 7 56 584 640, 2 6 7 78 640 718, 4 8 7 67 928 995, 0 7 7 99 995 1094, 5 6 7 69 1094 1163, 1 8 7 94 1163 1257, 7 6 7 85 1257 1342, 
10, 2 1 8 61 83 144, 0 1 8 68 186 254, 4 3 8 95 356 451, 1 5 8 66 451 517, 9 3 8 67 517 584, 5 4 8 80 611 691, 8 8 8 93 860 953, 6 5 8 97 953 1050, 3 9 8 67 1288 1355, 7 8 8 95 1404 1499, 
10, 2 0 9 83 0 83, 4 2 9 82 274 356, 0 6 9 77 847 924, 9 5 9 96 924 1020, 8 9 9 97 1020 1117, 5 7 9 62 1163 1225, 3 8 9 63 1225 1288, 1 9 9 63 1288 1351, 6 9 9 71 1351 1422, 7 9 9 79 1499 1578, 
