ShiftingBottleInstances/ta/ta15.txt
20 15
20, 2 1 0 45 147 192, 17 3 0 80 197 277, 3 3 0 19 277 296, 7 4 0 49 355 404, 6 5 0 32 404 436, 13 6 0 20 598 618, 0 6 0 44 659 703, 14 6 0 23 748 771, 18 9 0 83 868 951, 15 9 0 1 951 952, 11 11 0 86 959 1045, 1 11 0 32 1057 1089, 4 12 0 11 1095 1106, 12 12 0 69 1106 1175, 10 12 0 28 1247 1275, 8 12 0 54 1283 1337, 5 12 0 40 1355 1395, 19 13 0 67 1395 1462, 16 13 0 6 1462 1468, 9 14 0 78 1476 1554, 
20, 19 0 1 69 0 69, 2 0 1 78 69 147, 18 0 1 51 147 198, 12 0 1 83 198 281, 11 1 1 13 281 294, 6 4 1 76 302 378, 8 3 1 9 404 413, 14 4 1 53 529 582, 16 7 1 41 582 623, 5 6 1 42 623 665, 1 6 1 15 665 680, 0 8 1 87 824 911, 7 9 1 80 911 991, 15 10 1 11 991 1002, 4 9 1 2 1002 1004, 10 11 1 75 1172 1247, 3 11 1 3 1288 1291, 13 12 1 43 1291 1334, 9 12 1 26 1334 1360, 17 13 1 77 1360 1437, 
20, 17 0 2 68 0 68, 4 2 2 83 168 251, 7 7 2 84 580 664, 6 8 2 53 664 717, 10 8 2 72 750 822, 11 9 2 67 822 889, 3 9 2 88 889 977, 1 9 2 79 977 1056, 14 10 2 86 1056 1142, 2 10 2 4 1142 1146, 15 13 2 62 1146 1208, 5 10 2 49 1208 1257, 8 11 2 26 1257 1283, 0 10 2 48 1283 1331, 19 11 2 33 1331 1364, 13 13 2 30 1364 1394, 9 13 2 82 1394 1476, 12 14 2 46 1476 1522, 16 14 2 30 1522 1552, 18 14 2 58 1552 1610, 
20, 9 2 3 27 153 180, 1 1 3 46 180 226, 0 3 3 95 228 323, 13 4 3 78 401 479, 10 5 3 76 482 558, 11 5 3 5 558 563, 5 8 3 6 668 674, 3 8 3 5 779 784, 4 8 3 42 784 826, 12 9 3 89 841 930, 6 9 3 70 930 1000, 17 10 3 97 1000 1097, 18 12 3 61 1113 1174, 16 12 3 6 1174 1180, 14 12 3 68 1180 1248, 15 14 3 55 1248 1303, 7 12 3 68 1303 1371, 8 13 3 80 1371 1451, 2 14 3 76 1451 1527, 19 14 3 90 1527 1617, 
20, 13 0 4 64 0 64, 9 1 4 87 66 153, 14 1 4 29 153 182, 17 2 4 15 182 197, 18 1 4 34 198 232, 7 2 4 9 232 241, 2 3 4 49 253 302, 11 2 4 14 302 316, 8 2 4 88 316 404, 3 4 4 85 404 489, 19 5 4 21 523 544, 6 7 4 81 544 625, 5 7 4 3 665 668, 12 7 4 8 739 747, 10 9 4 52 822 874, 1 8 4 44 896 940, 16 10 4 25 1001 1026, 15 11 4 24 1026 1050, 4 11 4 26 1069 1095, 0 11 4 44 1331 1375, 
20, 16 0 5 43 0 43, 8 0 5 39 43 82, 15 3 5 94 82 176, 5 1 5 88 176 264, 12 1 5 67 281 348, 10 3 5 26 348 374, 1 3 5 4 374 378, 17 4 5 29 378 407, 9 5 5 75 426 501, 19 4 5 22 501 523, 7 6 5 57 523 580, 0 5 5 79 580 659, 11 6 5 58 659 717, 4 5 5 24 717 741, 3 7 5 38 741 779, 18 7 5 75 779 854, 14 9 5 1 1035 1036, 2 11 5 51 1146 1197, 13 14 5 3 1394 1397, 6 14 5 31 1397 1428, 
20, 4 1 6 7 161 168, 0 2 6 49 179 228, 10 2 6 74 238 312, 15 4 6 78 312 390, 1 4 6 56 390 446, 18 4 6 74 446 520, 19 6 6 89 544 633, 12 5 6 84 633 717, 9 6 6 31 717 748, 7 8 6 77 748 825, 14 7 6 49 825 874, 2 7 6 80 874 954, 16 9 6 47 954 1001, 8 9 6 49 1001 1050, 5 9 6 36 1050 1086, 13 11 6 10 1086 1096, 6 11 6 75 1096 1171, 17 12 6 23 1177 1200, 11 12 6 28 1200 1228, 3 14 6 18 1383 1401, 
20, 7 0 7 75 0 75, 0 0 7 15 75 90, 5 0 7 80 90 170, 13 2 7 12 170 182, 12 2 7 18 348 366, 11 3 7 27 366 393, 3 5 7 69 489 558, 17 5 7 72 558 630, 15 7 7 56 634 690, 8 7 7 48 771 819, 18 10 7 13 951 964, 19 9 7 83 964 1047, 16 11 7 86 1047 1133, 6 12 7 7 1171 1178, 2 12 7 82 1197 1279, 9 11 7 12 1279 1291, 14 13 7 71 1291 1362, 4 13 7 89 1362 1451, 10 14 7 51 1451 1502, 1 14 7 76 1510 1586, 
20, 1 0 8 6 0 6, 15 1 8 19 13 32, 14 0 8 99 32 131, 16 1 8 24 131 155, 2 2 8 61 192 253, 6 2 8 48 253 301, 18 2 8 10 301 311, 9 3 8 47 311 358, 13 3 8 43 358 401, 0 4 8 40 401 441, 17 6 8 22 630 652, 10 7 8 98 652 750, 12 8 8 91 750 841, 8 8 8 18 841 859, 7 10 8 41 991 1032, 19 10 8 20 1047 1067, 5 11 8 98 1257 1355, 3 13 8 28 1355 1383, 4 14 8 39 1451 1490, 11 14 8 33 1490 1523, 
20, 9 0 9 66 0 66, 17 1 9 92 68 160, 6 3 9 1 301 302, 16 4 9 6 375 381, 5 4 9 11 430 441, 1 5 9 44 446 490, 18 6 9 65 618 683, 14 5 9 65 683 748, 4 7 9 13 752 765, 0 7 9 59 765 824, 2 9 9 53 1008 1061, 13 10 9 25 1061 1086, 15 12 9 13 1086 1099, 10 10 9 73 1099 1172, 8 10 9 50 1172 1222, 3 10 9 66 1222 1288, 12 13 9 85 1288 1373, 19 12 9 11 1373 1384, 11 13 9 94 1384 1478, 7 13 9 64 1478 1542, 
