ShiftingBottleneck_seed_1531321_dmu68
40 20
40, 15 0 0 26 0 26, 3 0 0 171 26 197, 36 0 0 68 197 265, 29 0 0 178 265 443, 38 1 0 5 443 448, 35 1 0 164 448 612, 9 1 0 70 612 682, 7 1 0 176 682 858, 21 1 0 147 858 1005, 13 2 0 9 1005 1014, 18 2 0 49 1014 1063, 0 2 0 132 1063 1195, 11 2 0 85 1195 1280, 27 2 0 84 1280 1364, 33 4 0 191 1364 1555, 28 2 0 74 1555 1629, 2 2 0 127 1629 1756, 24 3 0 9 1756 1765, 23 3 0 164 1765 1929, 12 3 0 65 1929 1994, 5 3 0 63 1994 2057, 17 3 0 192 2057 2249, 22 4 0 189 2249 2438, 32 5 0 137 2438 2575, 31 5 0 147 2575 2722, 20 5 0 49 2722 2771, 6 5 0 90 2771 2861, 26 6 0 74 2861 2935, 37 6 0 123 2935 3058, 16 6 0 150 3058 3208, 10 6 0 64 3208 3272, 34 7 0 158 3272 3430, 30 7 0 84 3430 3514, 25 7 0 165 3567 3732, 19 8 0 129 3732 3861, 14 8 0 22 3861 3883, 1 8 0 152 3883 4035, 8 8 0 117 4035 4152, 4 9 0 155 4152 4307, 39 9 0 148 4307 4455, 
40, 31 0 1 111 0 111, 19 0 1 103 111 214, 39 0 1 18 214 232, 10 0 1 160 232 392, 30 1 1 86 392 478, 22 1 1 160 478 638, 23 1 1 159 638 797, 14 1 1 110 797 907, 35 2 1 141 907 1048, 34 3 1 123 1099 1222, 26 3 1 21 1222 1243, 8 3 1 182 1466 1648, 28 3 1 42 1648 1690, 2 3 1 69 1756 1825, 16 3 1 171 1825 1996, 3 3 1 60 1996 2056, 38 4 1 103 2056 2159, 29 4 1 134 2159 2293, 27 4 1 70 2293 2363, 25 4 1 41 2363 2404, 12 4 1 32 2404 2436, 37 5 1 11 2436 2447, 9 5 1 36 2447 2483, 32 6 1 69 2575 2644, 21 6 1 107 2719 2826, 17 6 1 107 2826 2933, 4 6 1 72 2933 3005, 20 7 1 3 3005 3008, 1 7 1 193 3008 3201, 11 8 1 37 3373 3410, 18 8 1 175 3426 3601, 15 8 1 195 3601 3796, 36 8 1 27 3796 3823, 0 8 1 53 3823 3876, 13 8 1 72 3876 3948, 33 9 1 136 3948 4084, 7 8 1 182 4084 4266, 24 9 1 161 4266 4427, 5 9 1 176 4427 4603, 6 9 1 107 4655 4762, 
40, 33 0 2 41 0 41, 4 0 2 123 41 164, 22 0 2 174 164 338, 7 0 2 151 338 489, 9 0 2 81 489 570, 23 0 2 25 570 595, 13 0 2 73 595 668, 25 1 2 185 668 853, 5 2 2 87 853 940, 38 3 2 76 940 1016, 0 3 2 112 1195 1307, 36 4 2 64 1307 1371, 19 4 2 74 1768 1842, 3 4 2 86 2056 2142, 32 4 2 70 2142 2212, 18 4 2 114 2212 2326, 39 5 2 25 2326 2351, 27 5 2 127 2363 2490, 30 5 2 77 2490 2567, 10 5 2 80 2567 2647, 14 6 2 34 2647 2681, 1 6 2 133 2681 2814, 26 7 2 104 2935 3039, 31 7 2 200 3039 3239, 15 7 2 46 3239 3285, 24 7 2 58 3285 3343, 11 7 2 30 3343 3373, 17 7 2 20 3373 3393, 16 7 2 133 3393 3526, 35 7 2 9 3526 3535, 34 8 2 1 3535 3536, 20 8 2 146 3536 3682, 6 7 2 116 3682 3798, 29 8 2 198 3798 3996, 12 8 2 189 3996 4185, 37 9 2 167 4185 4352, 8 9 2 20 4352 4372, 21 9 2 120 4372 4492, 28 9 2 9 4592 4601, 2 9 2 119 4601 4720, 
40, 6 0 3 114 0 114, 1 0 3 137 114 251, 34 1 3 144 632 776, 32 1 3 122 776 898, 33 2 3 32 931 963, 29 2 3 19 963 982, 23 2 3 49 982 1031, 39 3 3 101 1031 1132, 21 3 3 172 1250 1422, 31 3 3 78 1436 1514, 9 3 3 142 1514 1656, 20 3 3 147 1672 1819, 26 4 3 90 1819 1909, 11 4 3 46 1909 1955, 16 4 3 130 1996 2126, 7 4 3 73 2126 2199, 28 5 3 147 2199 2346, 0 5 3 164 2346 2510, 13 5 3 165 2510 2675, 15 5 3 77 2675 2752, 22 5 3 96 2752 2848, 4 5 3 38 2848 2886, 19 5 3 167 2886 3053, 18 6 3 171 3053 3224, 35 5 3 59 3224 3283, 30 6 3 35 3283 3318, 2 6 3 163 3318 3481, 25 6 3 86 3481 3567, 12 6 3 30 3567 3597, 36 7 3 26 3597 3623, 38 7 3 138 3623 3761, 37 7 3 34 3761 3795, 10 7 3 38 3795 3833, 8 7 3 165 3833 3998, 24 8 3 23 3998 4021, 17 9 3 137 4021 4158, 5 8 3 113 4158 4271, 27 9 3 171 4271 4442, 3 9 3 31 4442 4473, 14 9 3 161 4473 4634, 
40, 5 0 4 147 0 147, 20 0 4 38 147 185, 2 0 4 79 185 264, 18 0 4 117 264 381, 3 1 4 102 381 483, 26 1 4 187 483 670, 37 1 4 15 670 685, 1 1 4 138 685 823, 33 1 4 108 823 931, 0 1 4 76 931 1007, 11 1 4 166 1007 1173, 28 1 4 74 1173 1247, 32 2 4 31 1247 1278, 14 2 4 188 1278 1466, 10 2 4 27 1503 1530, 19 3 4 2 1766 1768, 6 4 4 25 1954 1979, 35 4 4 67 2197 2264, 17 4 4 106 2264 2370, 4 4 4 184 2370 2554, 15 4 4 67 2554 2621, 36 5 4 63 2621 2684, 24 5 4 155 2684 2839, 22 6 4 168 2848 3016, 7 6 4 11 3016 3027, 34 6 4 71 3027 3098, 29 7 4 32 3098 3130, 8 6 4 26 3130 3156, 23 7 4 71 3170 3241, 9 7 4 192 3241 3433, 21 7 4 96 3433 3529, 13 7 4 154 3529 3683, 12 7 4 88 3683 3771, 27 8 4 151 3771 3922, 39 8 4 114 3922 4036, 38 9 4 190 4036 4226, 31 9 4 110 4226 4336, 30 9 4 115 4336 4451, 16 9 4 35 4451 4486, 25 9 4 67 4486 4553, 
40, 38 0 5 68 0 68, 29 1 5 143 443 586, 36 1 5 179 586 765, 12 1 5 155 765 920, 4 1 5 36 920 956, 34 2 5 143 956 1099, 13 3 5 188 1099 1287, 31 2 5 77 1359 1436, 37 4 5 15 1530 1545, 39 4 5 6 1545 1551, 33 5 5 191 1555 1746, 10 4 5 33 1777 1810, 8 5 5 153 1810 1963, 2 5 5 190 1970 2160, 23 5 5 182 2160 2342, 11 5 5 169 2342 2511, 5 5 5 66 2511 2577, 1 5 5 93 2577 2670, 27 6 5 173 2670 2843, 20 6 5 81 2843 2924, 15 6 5 175 2924 3099, 24 6 5 38 3099 3137, 19 6 5 120 3137 3257, 18 7 5 169 3257 3426, 7 7 5 6 3426 3432, 3 6 5 99 3432 3531, 14 7 5 44 3531 3575, 0 7 5 37 3575 3612, 22 7 5 77 3612 3689, 16 8 5 102 3689 3791, 17 8 5 81 3791 3872, 30 8 5 187 3872 4059, 21 8 5 198 4059 4257, 35 8 5 53 4257 4310, 25 8 5 81 4310 4391, 32 9 5 60 4391 4451, 28 8 5 141 4451 4592, 6 8 5 63 4592 4655, 9 9 5 58 4655 4713, 26 9 5 19 4713 4732, 
40, 16 0 6 178 0 178, 35 0 6 23 178 201, 8 0 6 62 201 263, 19 1 6 178 263 441, 6 1 6 172 441 613, 27 1 6 61 613 674, 18 1 6 29 674 703, 15 2 6 86 703 789, 38 2 6 75 789 864, 1 2 6 135 864 999, 17 2 6 116 999 1115, 21 2 6 135 1115 1250, 4 2 6 37 1250 1287, 24 2 6 41 1287 1328, 12 2 6 62 1328 1390, 3 2 6 4 1390 1394, 37 3 6 136 1394 1530, 22 3 6 101 1530 1631, 30 3 6 8 1631 1639, 10 3 6 138 1639 1777, 25 3 6 118 1777 1895, 2 4 6 75 1895 1970, 23 4 6 26 1970 1996, 9 4 6 64 1996 2060, 34 4 6 58 2060 2118, 5 4 6 72 2118 2190, 26 5 6 137 2190 2327, 7 5 6 121 2327 2448, 14 5 6 184 2448 2632, 33 6 6 181 2632 2813, 31 6 6 57 2813 2870, 29 6 6 192 2870 3062, 28 6 6 186 3062 3248, 13 6 6 94 3248 3342, 36 6 6 200 3342 3542, 32 7 6 79 3542 3621, 39 7 6 127 3621 3748, 20 9 6 91 3748 3839, 11 9 6 38 3839 3877, 0 9 6 86 3877 3963, 
40, 26 0 7 48 0 48, 12 0 7 167 48 215, 16 1 7 69 215 284, 20 1 7 178 284 462, 17 1 7 164 462 626, 13 1 7 16 668 684, 9 2 7 27 684 711, 37 2 7 195 711 906, 22 2 7 49 906 955, 39 2 7 8 986 994, 25 2 7 101 994 1095, 36 3 7 144 1095 1239, 29 3 7 137 1239 1376, 32 3 7 145 1376 1521, 14 3 7 136 1521 1657, 8 4 7 66 1657 1723, 4 3 7 191 1723 1914, 31 4 7 182 1914 2096, 30 4 7 168 2096 2264, 21 4 7 105 2264 2369, 1 4 7 158 2383 2541, 24 4 7 63 2541 2604, 3 5 7 114 2604 2718, 38 6 7 9 3028 3037, 11 6 7 48 3037 3085, 6 6 7 98 3085 3183, 0 6 7 91 3183 3274, 28 7 7 59 3274 3333, 27 7 7 89 3333 3422, 33 7 7 16 3422 3438, 5 7 7 58 3438 3496, 2 7 7 175 3496 3671, 23 8 7 87 3671 3758, 18 9 7 200 3758 3958, 10 8 7 147 3958 4105, 19 9 7 38 4105 4143, 15 9 7 172 4143 4315, 35 9 7 133 4315 4448, 34 9 7 97 4448 4545, 7 9 7 68 4545 4613, 
40, 25 0 8 87 0 87, 32 0 8 48 87 135, 11 0 8 24 135 159, 30 0 8 153 159 312, 27 0 8 189 312 501, 37 0 8 108 501 609, 34 0 8 23 609 632, 0 0 8 65 632 697, 21 0 8 78 697 775, 14 0 8 1 775 776, 28 0 8 200 776 976, 39 1 8 10 976 986, 24 1 8 177 986 1163, 31 1 8 196 1163 1359, 8 2 8 107 1359 1466, 10 1 8 37 1466 1503, 2 1 8 3 1503 1506, 20 2 8 166 1506 1672, 19 2 8 94 1672 1766, 6 3 8 188 1766 1954, 7 3 8 82 1954 2036, 35 3 8 161 2036 2197, 1 3 8 186 2197 2383, 15 3 8 115 2383 2498, 29 5 8 53 2498 2551, 17 5 8 174 2551 2725, 18 5 8 64 2725 2789, 16 5 8 32 2789 2821, 9 6 8 126 2821 2947, 5 6 8 146 2947 3093, 26 8 8 135 3093 3228, 4 8 8 46 3683 3729, 38 8 8 20 3761 3781, 33 8 8 65 3781 3846, 3 8 8 120 3846 3966, 23 9 8 68 3966 4034, 36 9 8 72 4034 4106, 13 9 8 42 4106 4148, 12 9 8 190 4185 4375, 22 9 8 137 4375 4512, 
40, 24 0 9 115 0 115, 17 0 9 5 115 120, 15 1 9 179 120 299, 8 1 9 186 299 485, 5 1 9 121 485 606, 36 2 9 7 765 772, 30 2 9 74 772 846, 26 2 9 69 846 915, 16 2 9 87 915 1002, 7 2 9 50 1002 1052, 6 2 9 81 1052 1133, 33 3 9 139 1133 1272, 27 3 9 26 1364 1390, 11 3 9 134 1390 1524, 18 3 9 84 1524 1608, 13 4 9 157 1608 1765, 28 4 9 16 1765 1781, 20 4 9 162 1819 1981, 0 4 9 186 1981 2167, 14 4 9 179 2167 2346, 34 5 9 59 2346 2405, 12 5 9 158 2436 2594, 21 5 9 125 2594 2719, 25 5 9 170 2719 2889, 38 5 9 139 2889 3028, 23 6 9 142 3028 3170, 39 6 9 86 3170 3256, 35 6 9 194 3283 3477, 19 7 9 51 3477 3528, 4 7 9 155 3528 3683, 3 7 9 85 3683 3768, 22 8 9 84 3768 3852, 9 8 9 152 3852 4004, 31 8 9 6 4004 4010, 37 8 9 21 4010 4031, 32 8 9 24 4031 4055, 29 9 9 165 4055 4220, 2 8 9 61 4220 4281, 1 9 9 88 4281 4369, 10 9 9 14 4369 4383, 
40, 36 10 10 5 4106 4111, 33 10 10 60 4111 4171, 18 10 10 18 4171 4189, 24 10 10 82 4427 4509, 29 11 10 110 4509 4619, 28 10 10 52 4619 4671, 17 11 10 18 4671 4689, 19 11 10 131 4689 4820, 22 11 10 151 4820 4971, 37 12 10 124 4971 5095, 9 11 10 198 5095 5293, 8 12 10 123 5293 5416, 4 12 10 68 5416 5484, 1 12 10 153 5484 5637, 26 12 10 179 5637 5816, 30 13 10 70 5816 5886, 38 13 10 9 5886 5895, 10 13 10 117 5895 6012, 11 13 10 181 6012 6193, 27 14 10 147 6193 6340, 3 14 10 198 6340 6538, 31 15 10 24 6538 6562, 21 15 10 12 6562 6574, 13 15 10 51 6574 6625, 34 16 10 111 6625 6736, 16 15 10 79 6736 6815, 0 16 10 197 6815 7012, 7 16 10 85 7012 7097, 5 16 10 191 7097 7288, 39 16 10 44 7288 7332, 15 16 10 146 7332 7478, 32 17 10 53 7478 7531, 35 17 10 146 7531 7677, 23 18 10 10 7677 7687, 14 17 10 117 7687 7804, 25 18 10 63 7804 7867, 20 18 10 153 7867 8020, 6 18 10 44 8020 8064, 12 19 10 6 8064 8070, 2 19 10 27 8123 8150, 
