RandomSearchInstances/abz/abz5.txt
10 10
10, 8 0 0 94 0 94, 9 1 0 59 94 153, 2 2 0 83 153 236, 7 7 0 62 641 703, 4 4 0 99 703 802, 1 6 0 92 802 894, 6 4 0 95 894 989, 5 9 0 88 989 1077, 3 7 0 76 1077 1153, 0 8 0 86 1249 1335, 
10, 5 0 1 99 0 99, 3 2 1 61 162 223, 6 1 1 86 223 309, 9 2 1 82 309 391, 7 4 1 71 391 462, 2 3 1 65 462 527, 8 4 1 66 828 894, 0 4 1 67 894 961, 1 7 1 82 961 1043, 4 9 1 86 1316 1402, 
10, 3 1 2 68 94 162, 7 3 2 51 253 304, 1 4 2 94 363 457, 5 5 2 80 498 578, 4 5 2 67 802 869, 8 5 2 90 894 984, 0 5 2 89 984 1073, 2 8 2 55 1073 1128, 6 6 2 66 1128 1194, 9 9 2 96 1261 1357, 
10, 9 0 3 50 0 50, 4 0 3 69 50 119, 1 1 3 50 119 169, 7 2 3 82 171 253, 8 2 3 81 662 743, 6 3 3 96 743 839, 3 4 3 54 839 893, 5 8 3 79 893 972, 2 9 3 77 1128 1205, 0 9 3 92 1335 1427, 
10, 7 0 4 98 0 98, 4 1 4 88 119 207, 5 1 4 81 207 288, 1 3 4 75 288 363, 0 0 4 88 363 451, 6 2 4 97 451 548, 3 3 4 99 548 647, 2 7 4 85 906 991, 8 6 4 76 991 1067, 9 7 4 81 1121 1202, 
10, 1 0 5 72 0 72, 5 2 5 64 288 352, 7 5 5 94 462 556, 2 5 5 85 591 676, 0 3 5 99 793 892, 3 6 5 66 968 1034, 4 7 5 68 1063 1131, 8 7 5 58 1131 1189, 9 8 5 59 1202 1261, 6 7 5 99 1261 1360, 
10, 7 1 6 73 98 171, 1 2 6 69 171 240, 5 3 6 66 352 418, 2 4 6 64 527 591, 8 1 6 71 591 662, 0 2 6 94 699 793, 3 5 6 75 893 968, 4 6 6 95 968 1063, 9 6 6 58 1063 1121, 6 8 6 52 1360 1412, 
10, 3 0 7 94 0 94, 6 0 7 50 94 144, 7 6 7 85 556 641, 5 6 7 69 641 710, 8 3 7 85 743 828, 2 6 7 78 828 906, 9 4 7 56 906 962, 1 8 7 94 1043 1137, 0 7 7 99 1150 1249, 4 8 7 67 1249 1316, 
10, 2 1 8 61 83 144, 4 3 8 95 289 384, 5 4 8 80 418 498, 9 3 8 67 498 565, 1 5 8 66 565 631, 0 1 8 68 631 699, 7 8 8 95 703 798, 6 5 8 97 989 1086, 8 8 8 93 1189 1282, 3 9 8 67 1355 1422, 
10, 2 0 9 83 0 83, 4 2 9 82 207 289, 5 7 9 62 710 772, 9 5 9 96 962 1058, 0 6 9 77 1073 1150, 7 9 9 79 1150 1229, 1 9 9 63 1229 1292, 3 8 9 63 1292 1355, 8 9 9 97 1355 1452, 6 9 9 71 1452 1523, 
