RandomSwap_seed_89164_abz8
20 15
20, 0 0 0 19 0 19, 10 1 0 22 30 52, 16 2 0 33 99 132, 14 1 0 17 132 149, 8 5 0 16 156 172, 6 2 0 15 254 269, 4 8 0 38 284 322, 1 6 0 29 460 489, 12 8 0 20 489 509, 2 8 0 24 509 533, 7 7 0 26 533 559, 11 6 0 11 559 570, 9 9 0 38 570 608, 15 7 0 19 608 627, 3 11 0 39 710 749, 18 12 0 20 798 818, 5 13 0 20 818 838, 17 14 0 39 878 917, 19 13 0 19 917 936, 13 14 0 14 936 950, 
20, 9 0 1 18 0 18, 12 2 1 37 74 111, 4 2 1 35 111 146, 14 3 1 21 169 190, 3 6 1 13 190 203, 15 5 1 35 397 432, 17 8 1 11 432 443, 11 5 1 11 468 479, 2 9 1 39 533 572, 10 11 1 22 572 594, 1 10 1 23 594 617, 0 10 1 31 694 725, 19 11 1 24 727 751, 18 11 1 38 760 798, 13 13 1 36 798 834, 7 11 1 15 933 948, 5 14 1 30 948 978, 16 13 1 30 1015 1045, 8 14 1 19 1045 1064, 6 14 1 27 1064 1091, 
20, 19 0 2 12 0 12, 3 2 2 34 58 92, 0 2 2 32 92 124, 18 1 2 11 124 135, 8 6 2 18 172 190, 12 4 2 26 190 216, 13 8 2 31 350 381, 4 9 2 38 381 419, 10 10 2 29 495 524, 6 6 2 32 524 556, 5 8 2 27 681 708, 14 10 2 34 708 742, 7 8 2 29 742 771, 2 11 2 35 771 806, 15 11 2 31 806 837, 11 9 2 15 837 852, 17 13 2 26 852 878, 1 12 2 40 878 918, 9 14 2 30 918 948, 16 11 2 29 948 977, 
20, 3 1 3 36 22 58, 2 0 3 25 58 83, 16 1 3 16 83 99, 8 3 3 34 99 133, 11 1 3 22 133 155, 17 1 3 37 155 192, 12 5 3 11 216 227, 15 2 3 14 227 241, 9 7 3 17 326 343, 10 5 3 17 361 378, 18 7 3 39 455 494, 13 11 3 33 494 527, 4 10 3 40 527 567, 19 8 3 26 567 593, 14 7 3 40 593 633, 6 8 3 12 669 681, 5 11 3 28 763 791, 1 11 3 20 791 811, 0 12 3 34 811 845, 7 12 3 21 948 969, 
20, 3 4 4 30 109 139, 4 7 4 21 263 284, 13 7 4 37 313 350, 8 7 4 35 350 385, 15 4 4 12 385 397, 1 4 4 25 397 422, 12 7 4 14 422 436, 18 6 4 19 436 455, 11 4 4 13 455 468, 0 7 4 36 510 546, 9 10 4 21 608 629, 6 7 4 40 629 669, 5 7 4 12 669 681, 17 11 4 12 681 693, 2 10 4 17 693 710, 16 10 4 37 771 808, 19 12 4 12 808 820, 14 14 4 26 973 999, 10 13 4 33 999 1032, 7 13 4 28 1032 1060, 
20, 8 2 5 26 57 83, 19 2 5 23 134 157, 13 4 5 34 207 241, 9 4 5 40 247 287, 11 3 5 13 287 300, 2 6 5 39 300 339, 10 4 5 22 339 361, 1 3 5 12 361 373, 17 7 5 12 373 385, 16 4 5 27 385 412, 5 6 5 14 485 499, 7 6 5 30 499 529, 4 12 5 11 598 609, 14 8 5 32 633 665, 18 8 5 28 665 693, 12 11 5 29 706 735, 15 12 5 26 837 863, 6 12 5 17 863 880, 3 12 5 40 880 920, 0 13 5 26 920 946, 
20, 8 1 6 17 40 57, 11 0 6 32 57 89, 6 0 6 39 89 128, 17 3 6 15 208 223, 10 3 6 18 223 241, 4 6 6 22 241 263, 9 5 6 17 287 304, 19 4 6 27 304 331, 3 7 6 25 331 356, 1 5 6 38 422 460, 5 5 6 25 460 485, 0 6 6 25 485 510, 12 9 6 36 510 546, 15 6 6 35 546 581, 13 12 6 26 581 607, 16 7 6 31 607 638, 18 9 6 33 693 726, 7 9 6 33 771 804, 2 13 6 20 844 864, 14 12 6 13 864 877, 
20, 9 1 7 37 18 55, 4 3 7 13 146 159, 13 6 7 33 280 313, 14 5 7 19 313 332, 18 5 7 31 332 363, 10 8 7 23 453 476, 16 5 7 31 476 507, 1 7 7 39 507 546, 3 9 7 18 546 564, 17 10 7 19 627 646, 15 9 7 19 679 698, 8 11 7 12 698 710, 19 10 7 17 710 727, 5 10 7 29 734 763, 2 12 7 38 806 844, 12 13 7 32 844 876, 6 13 7 38 880 918, 11 14 7 24 969 993, 0 14 7 13 993 1006, 7 14 7 33 1060 1093, 
20, 13 0 8 20 0 20, 8 0 8 20 20 40, 14 0 8 31 40 71, 2 1 8 17 83 100, 15 0 8 38 100 138, 12 3 8 25 138 163, 4 4 8 32 163 195, 19 3 8 21 195 216, 6 1 8 38 216 254, 17 4 8 14 254 268, 9 6 8 22 304 326, 5 2 8 11 326 337, 7 3 8 15 337 352, 0 5 8 34 353 387, 10 9 8 19 476 495, 16 6 8 16 507 523, 11 8 8 13 652 665, 18 14 8 28 890 918, 1 14 8 26 992 1018, 3 13 8 26 1018 1044, 
20, 1 0 9 11 0 11, 0 1 9 33 19 52, 8 4 9 23 133 156, 14 2 9 13 156 169, 13 3 9 38 169 207, 9 3 9 40 207 247, 18 3 9 35 247 282, 2 7 9 19 339 358, 12 6 9 34 358 392, 7 4 9 19 392 411, 5 4 9 11 411 422, 19 5 9 30 422 452, 6 5 9 27 452 479, 3 8 9 12 479 491, 16 9 9 37 734 771, 15 10 9 29 771 800, 17 12 9 18 800 818, 11 13 9 38 931 969, 4 14 9 16 969 985, 10 14 9 39 1032 1071, 
20, 5 0 10 23 0 23, 1 1 10 22 23 45, 13 1 10 24 45 69, 2 4 10 32 227 259, 14 4 10 17 259 276, 7 2 10 38 276 314, 0 4 10 39 314 353, 16 3 10 14 353 367, 9 8 10 30 367 397, 6 4 10 22 397 419, 10 7 10 34 419 453, 4 11 10 31 567 598, 17 9 10 29 598 627, 8 9 10 16 627 643, 15 8 10 36 643 679, 3 10 10 31 679 710, 18 10 10 34 726 760, 12 12 10 25 760 785, 11 10 10 33 852 885, 19 14 10 36 936 972, 
