RandomSearchMachine_seed_431899131_dmu68
40 20
40, 0 2 0 132 141 273, 1 8 0 152 1908 2060, 2 2 0 127 2060 2187, 3 0 0 171 2187 2358, 4 9 0 155 4097 4252, 5 3 0 63 4259 4322, 6 5 0 90 5357 5447, 7 1 0 176 5812 5988, 8 8 0 117 7261 7378, 9 1 0 70 7479 7549, 10 6 0 64 8459 8523, 11 2 0 85 8523 8608, 12 3 0 65 9503 9568, 13 2 0 9 10154 10163, 14 8 0 22 11911 11933, 15 0 0 26 11933 11959, 16 6 0 150 13560 13710, 17 3 0 192 13710 13902, 18 2 0 49 14232 14281, 19 8 0 129 15909 16038, 20 5 0 49 16729 16778, 21 1 0 147 16778 16925, 22 4 0 189 18641 18830, 23 3 0 164 18975 19139, 24 3 0 9 19939 19948, 25 7 0 165 20963 21128, 26 6 0 74 21780 21854, 27 2 0 84 22343 22427, 28 2 0 74 23137 23211, 29 0 0 178 23211 23389, 30 7 0 84 25237 25321, 31 5 0 147 25845 25992, 32 5 0 137 26611 26748, 33 4 0 191 27059 27250, 34 7 0 158 28324 28482, 35 1 0 164 28482 28646, 36 0 0 68 28646 28714, 37 6 0 123 30592 30715, 38 1 0 5 30715 30720, 39 9 0 148 31899 32047, 
40, 0 8 1 53 863 916, 1 7 1 193 1715 1908, 2 3 1 69 2187 2256, 3 3 1 60 2464 2524, 4 6 1 72 3824 3896, 5 9 1 176 4777 4953, 6 9 1 107 5724 5831, 7 8 1 182 6331 6513, 8 3 1 182 6669 6851, 9 5 1 36 7782 7818, 10 0 1 160 7818 7978, 11 8 1 37 9149 9186, 12 4 1 32 9568 9600, 13 8 1 72 10921 10993, 14 1 1 110 11036 11146, 15 8 1 195 12704 12899, 16 3 1 171 13227 13398, 17 6 1 107 14260 14367, 18 8 1 175 14945 15120, 19 0 1 103 15120 15223, 20 7 1 3 16859 16862, 21 6 1 107 17636 17743, 22 1 1 160 18331 18491, 23 1 1 159 18491 18650, 24 9 1 161 20285 20446, 25 4 1 41 20666 20707, 26 3 1 21 21532 21553, 27 4 1 70 22453 22523, 28 3 1 42 23211 23253, 29 4 1 134 24101 24235, 30 1 1 86 24441 24527, 31 0 1 111 24527 24638, 32 6 1 69 26748 26817, 33 9 1 136 27703 27839, 34 3 1 123 28013 28136, 35 2 1 141 28646 28787, 36 8 1 27 30013 30040, 37 5 1 11 30581 30592, 38 4 1 103 31013 31116, 39 0 1 18 31116 31134, 
40, 0 3 2 112 273 385, 1 6 2 133 1582 1715, 2 9 2 119 2920 3039, 3 4 2 86 3039 3125, 4 0 2 123 3125 3248, 5 2 2 87 4172 4259, 6 7 2 116 5545 5661, 7 0 2 151 5661 5812, 8 9 2 20 7378 7398, 9 0 2 81 7398 7479, 10 5 2 80 8379 8459, 11 7 2 30 9119 9149, 12 8 2 189 9876 10065, 13 0 2 73 10065 10138, 14 6 2 34 11833 11867, 15 7 2 46 12658 12704, 16 7 2 133 13710 13843, 17 7 2 20 14367 14387, 18 4 2 114 14387 14501, 19 4 2 74 15497 15571, 20 8 2 146 16862 17008, 21 9 2 120 18037 18157, 22 0 2 174 18157 18331, 23 0 2 25 18331 18356, 24 7 2 58 20204 20262, 25 1 2 185 20262 20447, 26 7 2 104 21854 21958, 27 5 2 127 22523 22650, 28 9 2 9 23802 23811, 29 8 2 198 24512 24710, 30 5 2 77 25125 25202, 31 7 2 200 26049 26249, 32 4 2 70 26541 26611, 33 0 2 41 26611 26652, 34 8 2 1 28482 28483, 35 7 2 9 29268 29277, 36 4 2 64 29660 29724, 37 9 2 167 30770 30937, 38 3 2 76 30937 31013, 39 5 2 25 31547 31572, 
40, 0 5 3 164 571 735, 1 0 3 137 735 872, 2 6 3 163 2521 2684, 3 9 3 31 3543 3574, 4 5 3 38 3786 3824, 5 8 3 113 4664 4777, 6 0 3 114 4777 4891, 7 4 3 73 6120 6193, 8 7 3 165 7096 7261, 9 3 3 142 7576 7718, 10 7 3 38 8523 8561, 11 4 3 46 8856 8902, 12 6 3 30 9758 9788, 13 5 3 165 10508 10673, 14 9 3 161 11933 12094, 15 5 3 77 12406 12483, 16 4 3 130 13398 13528, 17 9 3 137 14468 14605, 18 6 3 171 14605 14776, 19 5 3 167 15571 15738, 20 3 3 147 16420 16567, 21 3 3 172 17234 17406, 22 5 3 96 18830 18926, 23 2 3 49 18926 18975, 24 8 3 23 20262 20285, 25 6 3 86 20877 20963, 26 4 3 90 21553 21643, 27 9 3 171 23063 23234, 28 5 3 147 23269 23416, 29 2 3 19 23945 23964, 30 6 3 35 25202 25237, 31 3 3 78 25585 25663, 32 1 3 122 25663 25785, 33 2 3 32 26760 26792, 34 1 3 144 27726 27870, 35 5 3 59 29015 29074, 36 7 3 26 29987 30013, 37 7 3 34 30715 30749, 38 7 3 138 31264 31402, 39 3 3 101 31440 31541, 
40, 0 1 4 76 65 141, 1 1 4 138 872 1010, 2 0 4 79 1010 1089, 3 1 4 102 2358 2460, 4 4 4 184 3602 3786, 5 0 4 147 3786 3933, 6 4 4 25 5332 5357, 7 6 4 11 6314 6325, 8 6 4 26 7070 7096, 9 7 4 192 7944 8136, 10 2 4 27 8136 8163, 11 1 4 166 8163 8329, 12 7 4 88 9788 9876, 13 7 4 154 10767 10921, 14 2 4 188 11146 11334, 15 4 4 67 12339 12406, 16 9 4 35 13945 13980, 17 4 4 106 13980 14086, 18 0 4 117 14086 14203, 19 3 4 2 15495 15497, 20 0 4 38 15497 15535, 21 7 4 96 17743 17839, 22 6 4 168 18926 19094, 23 7 4 71 19495 19566, 24 5 4 155 20011 20166, 25 9 4 67 21209 21276, 26 1 4 187 21276 21463, 27 8 4 151 22912 23063, 28 1 4 74 23063 23137, 29 7 4 32 24480 24512, 30 9 4 115 25508 25623, 31 9 4 110 26255 26365, 32 2 4 31 26365 26396, 33 1 4 108 26652 26760, 34 6 4 71 28253 28324, 35 4 4 67 28948 29015, 36 5 4 63 29724 29787, 37 1 4 15 30220 30235, 38 9 4 190 31422 31612, 39 8 4 114 31785 31899, 
40, 0 7 5 37 826 863, 1 5 5 93 1489 1582, 2 5 5 190 2331 2521, 3 6 5 99 3239 3338, 4 1 5 36 3338 3374, 5 5 5 66 4394 4460, 6 8 5 63 5661 5724, 7 7 5 6 6325 6331, 8 5 5 153 6917 7070, 9 9 5 58 8288 8346, 10 4 5 33 8346 8379, 11 5 5 169 8902 9071, 12 1 5 155 9286 9441, 13 3 5 188 10163 10351, 14 7 5 44 11867 11911, 15 6 5 175 12483 12658, 16 8 5 102 13843 13945, 17 8 5 81 14387 14468, 18 7 5 169 14776 14945, 19 6 5 120 15738 15858, 20 6 5 81 16778 16859, 21 8 5 198 17839 18037, 22 7 5 77 19094 19171, 23 5 5 182 19171 19353, 24 6 5 38 20166 20204, 25 8 5 81 21128 21209, 26 9 5 19 22093 22112, 27 6 5 173 22650 22823, 28 8 5 141 23661 23802, 29 1 5 143 23802 23945, 30 8 5 187 25321 25508, 31 2 5 77 25508 25585, 32 9 5 60 26920 26980, 33 5 5 191 27250 27441, 34 2 5 143 27870 28013, 35 8 5 53 29277 29330, 36 1 5 179 29330 29509, 37 4 5 15 30566 30581, 38 0 5 68 30581 30649, 39 4 5 6 31541 31547, 
40, 0 9 6 86 916 1002, 1 2 6 135 1010 1145, 2 4 6 75 2256 2331, 3 2 6 4 2460 2464, 4 2 6 37 3374 3411, 5 4 6 72 4322 4394, 6 1 6 172 4891 5063, 7 5 6 121 6193 6314, 8 0 6 62 6314 6376, 9 4 6 64 7718 7782, 10 3 6 138 8163 8301, 11 9 6 38 9186 9224, 12 2 6 62 9441 9503, 13 6 6 94 10673 10767, 14 5 6 184 11649 11833, 15 2 6 86 12138 12224, 16 0 6 178 12224 12402, 17 2 6 116 13396 13512, 18 1 6 29 14203 14232, 19 1 6 178 15223 15401, 20 9 6 91 17008 17099, 21 2 6 135 17099 17234, 22 3 6 101 18540 18641, 23 4 6 26 19139 19165, 24 2 6 41 19898 19939, 25 3 6 118 20548 20666, 26 5 6 137 21643 21780, 27 1 6 61 22282 22343, 28 6 6 186 23416 23602, 29 6 6 192 24288 24480, 30 3 6 8 24949 24957, 31 6 6 57 25992 26049, 32 7 6 79 26817 26896, 33 6 6 181 27441 27622, 34 4 6 58 28136 28194, 35 0 6 23 28194 28217, 36 6 6 200 29787 29987, 37 3 6 136 30430 30566, 38 2 6 75 30720 30795, 39 7 6 127 31658 31785, 
40, 0 6 7 91 735 826, 1 4 7 158 1331 1489, 2 7 7 175 2684 2859, 3 5 7 114 3125 3239, 4 3 7 191 3411 3602, 5 7 7 58 4606 4664, 6 6 7 98 5447 5545, 7 9 7 68 6513 6581, 8 4 7 66 6851 6917, 9 2 7 27 7549 7576, 10 8 7 147 8561 8708, 11 6 7 48 9071 9119, 12 0 7 167 9119 9286, 13 1 7 16 10138 10154, 14 3 7 136 11334 11470, 15 9 7 172 12899 13071, 16 1 7 69 13071 13140, 17 1 7 164 13232 13396, 18 9 7 200 15120 15320, 19 9 7 38 16038 16076, 20 1 7 178 16076 16254, 21 4 7 105 17406 17511, 22 2 7 49 18491 18540, 23 8 7 87 19566 19653, 24 4 7 63 19948 20011, 25 2 7 101 20447 20548, 26 0 7 48 20548 20596, 27 7 7 89 22823 22912, 28 7 7 59 23602 23661, 29 3 7 137 23964 24101, 30 4 7 168 24957 25125, 31 4 7 182 25663 25845, 32 3 7 145 26396 26541, 33 7 7 16 27622 27638, 34 9 7 97 28483 28580, 35 9 7 133 29330 29463, 36 3 7 144 29516 29660, 37 2 7 195 30235 30430, 38 6 7 9 31255 31264, 39 2 7 8 31432 31440, 
40, 0 0 8 65 0 65, 1 3 8 186 1145 1331, 2 1 8 3 1331 1334, 3 8 8 120 3423 3543, 4 8 8 46 4051 4097, 5 6 8 146 4460 4606, 6 3 8 188 5144 5332, 7 3 8 82 6038 6120, 8 2 8 107 6562 6669, 9 6 8 126 7818 7944, 10 1 8 37 7978 8015, 11 0 8 24 8015 8039, 12 9 8 190 10065 10255, 13 9 8 42 10993 11035, 14 0 8 1 11035 11036, 15 3 8 115 12224 12339, 16 5 8 32 13528 13560, 17 5 8 174 14086 14260, 18 5 8 64 14501 14565, 19 2 8 94 15401 15495, 20 2 8 166 16254 16420, 21 0 8 78 16420 16498, 22 9 8 137 19255 19392, 23 9 8 68 19653 19721, 24 1 8 177 19721 19898, 25 0 8 87 19898 19985, 26 8 8 135 21958 22093, 27 0 8 189 22093 22282, 28 0 8 200 22282 22482, 29 5 8 53 24235 24288, 30 0 8 153 24288 24441, 31 1 8 196 24638 24834, 32 0 8 48 24834 24882, 33 8 8 65 27638 27703, 34 0 8 23 27703 27726, 35 3 8 161 28787 28948, 36 9 8 72 30040 30112, 37 0 8 108 30112 30220, 38 8 8 20 31402 31422, 39 1 8 10 31422 31432, 
40, 0 4 9 186 385 571, 1 9 9 88 2060 2148, 2 8 9 61 2859 2920, 3 7 9 85 3338 3423, 4 7 9 155 3896 4051, 5 1 9 121 4051 4172, 6 2 9 81 5063 5144, 7 2 9 50 5988 6038, 8 1 9 186 6376 6562, 9 8 9 152 8136 8288, 10 9 9 14 8708 8722, 11 3 9 134 8722 8856, 12 5 9 158 9600 9758, 13 4 9 157 10351 10508, 14 4 9 179 11470 11649, 15 1 9 179 11959 12138, 16 2 9 87 13140 13227, 17 0 9 5 13227 13232, 18 3 9 84 14281 14365, 19 7 9 51 15858 15909, 20 4 9 162 16567 16729, 21 5 9 125 17511 17636, 22 8 9 84 19171 19255, 23 6 9 142 19353 19495, 24 0 9 115 19495 19610, 25 5 9 170 20707 20877, 26 2 9 69 21463 21532, 27 3 9 26 22427 22453, 28 4 9 16 23253 23269, 29 9 9 165 24710 24875, 30 2 9 74 24875 24949, 31 8 9 6 26249 26255, 32 8 9 24 26896 26920, 33 3 9 139 26920 27059, 34 5 9 59 28194 28253, 35 6 9 194 29074 29268, 36 2 9 7 29509 29516, 37 8 9 21 30749 30770, 38 5 9 139 31116 31255, 39 6 9 86 31572 31658, 
