ShiftingBottleneck_seed_781249315_abz5
10 10
10, 8 0 0 94 0 94, 9 1 0 59 119 178, 2 2 0 83 178 261, 4 4 0 99 451 550, 6 4 0 95 623 718, 3 7 0 76 821 897, 1 6 0 92 897 989, 7 7 0 62 1131 1193, 0 8 0 86 1193 1279, 5 9 0 88 1279 1367, 
10, 5 0 1 99 0 99, 6 1 1 86 99 185, 3 2 1 61 212 273, 9 2 1 82 273 355, 2 3 1 65 355 420, 8 4 1 66 486 552, 0 4 1 67 552 619, 7 4 1 71 619 690, 1 7 1 82 989 1071, 4 9 1 86 1292 1378, 
10, 3 1 2 68 144 212, 7 3 2 51 320 371, 1 4 2 94 430 524, 4 5 2 67 550 617, 0 5 2 89 619 708, 8 5 2 90 708 798, 5 5 2 80 798 878, 6 6 2 66 878 944, 2 8 2 55 959 1014, 9 9 2 96 1199 1295, 
10, 4 0 3 69 0 69, 9 0 3 50 69 119, 1 1 3 50 119 169, 7 2 3 82 238 320, 8 2 3 81 320 401, 6 3 3 96 527 623, 3 4 3 54 626 680, 5 8 3 79 1022 1101, 2 9 3 77 1101 1178, 0 9 3 92 1279 1371, 
10, 7 0 4 98 0 98, 0 0 4 88 98 186, 4 1 4 88 186 274, 5 1 4 81 274 355, 1 3 4 75 355 430, 6 2 4 97 430 527, 3 3 4 99 527 626, 8 6 4 76 798 874, 2 7 4 85 874 959, 9 7 4 81 959 1040, 
10, 1 0 5 72 0 72, 5 2 5 64 355 419, 0 3 5 99 419 518, 2 5 5 85 549 634, 3 6 5 66 755 821, 7 5 5 94 821 915, 8 7 5 58 915 973, 6 7 5 99 973 1072, 4 7 5 68 1072 1140, 9 8 5 59 1140 1199, 
10, 8 1 6 71 94 165, 7 1 6 73 165 238, 1 2 6 69 238 307, 0 2 6 94 307 401, 5 3 6 66 419 485, 2 4 6 64 485 549, 3 5 6 75 680 755, 4 6 6 95 755 850, 9 6 6 58 850 908, 6 8 6 52 1072 1124, 
10, 6 0 7 50 0 50, 3 0 7 94 50 144, 8 3 7 85 401 486, 9 4 7 56 518 574, 2 6 7 78 634 712, 5 6 7 69 878 947, 0 7 7 99 947 1046, 7 6 7 85 1046 1131, 1 8 7 94 1131 1225, 4 8 7 67 1225 1292, 
10, 2 1 8 61 83 144, 0 1 8 68 186 254, 4 3 8 95 356 451, 9 3 8 67 451 518, 5 4 8 80 518 598, 1 5 8 66 598 664, 6 5 8 97 718 815, 8 8 8 93 973 1066, 7 8 8 95 1193 1288, 3 9 8 67 1288 1355, 
10, 2 0 9 83 0 83, 4 2 9 82 274 356, 9 5 9 96 574 670, 0 6 9 77 708 785, 3 8 9 63 897 960, 5 7 9 62 960 1022, 8 9 9 97 1066 1163, 6 9 9 71 1163 1234, 1 9 9 63 1234 1297, 7 9 9 79 1297 1376, 
